,ticker,security,yahoo_urls
222,HBI,Hanesbrands,https://finance.yahoo.com/quote/HBI/history?p=HBI
223,HIG,The Hartford,https://finance.yahoo.com/quote/HIG/history?p=HIG
224,HAS,Hasbro,https://finance.yahoo.com/quote/HAS/history?p=HAS
225,HCA,HCA Healthcare,https://finance.yahoo.com/quote/HCA/history?p=HCA
226,PEAK,Healthpeak Properties,https://finance.yahoo.com/quote/PEAK/history?p=PEAK
227,HSIC,Henry Schein,https://finance.yahoo.com/quote/HSIC/history?p=HSIC
228,HSY,The Hershey Company,https://finance.yahoo.com/quote/HSY/history?p=HSY
229,HES,Hess Corporation,https://finance.yahoo.com/quote/HES/history?p=HES
230,HPE,Hewlett Packard Enterprise,https://finance.yahoo.com/quote/HPE/history?p=HPE
231,HLT,Hilton Worldwide,https://finance.yahoo.com/quote/HLT/history?p=HLT
232,HOLX,Hologic,https://finance.yahoo.com/quote/HOLX/history?p=HOLX
233,HD,Home Depot,https://finance.yahoo.com/quote/HD/history?p=HD
234,HON,Honeywell,https://finance.yahoo.com/quote/HON/history?p=HON
235,HRL,Hormel,https://finance.yahoo.com/quote/HRL/history?p=HRL
236,HST,Host Hotels & Resorts,https://finance.yahoo.com/quote/HST/history?p=HST
237,HWM,Howmet Aerospace,https://finance.yahoo.com/quote/HWM/history?p=HWM
238,HPQ,HP,https://finance.yahoo.com/quote/HPQ/history?p=HPQ
239,HUM,Humana,https://finance.yahoo.com/quote/HUM/history?p=HUM
240,HBAN,Huntington Bancshares,https://finance.yahoo.com/quote/HBAN/history?p=HBAN
241,HII,Huntington Ingalls Industries,https://finance.yahoo.com/quote/HII/history?p=HII
242,IEX,IDEX Corporation,https://finance.yahoo.com/quote/IEX/history?p=IEX
243,IDXX,Idexx Laboratories,https://finance.yahoo.com/quote/IDXX/history?p=IDXX
244,INFO,IHS Markit,https://finance.yahoo.com/quote/INFO/history?p=INFO
245,ITW,Illinois Tool Works,https://finance.yahoo.com/quote/ITW/history?p=ITW
246,ILMN,Illumina,https://finance.yahoo.com/quote/ILMN/history?p=ILMN
247,INCY,Incyte,https://finance.yahoo.com/quote/INCY/history?p=INCY
248,IR,Ingersoll Rand,https://finance.yahoo.com/quote/IR/history?p=IR
249,INTC,Intel,https://finance.yahoo.com/quote/INTC/history?p=INTC
250,ICE,Intercontinental Exchange,https://finance.yahoo.com/quote/ICE/history?p=ICE
251,IBM,IBM,https://finance.yahoo.com/quote/IBM/history?p=IBM
252,IP,International Paper,https://finance.yahoo.com/quote/IP/history?p=IP
253,IPG,Interpublic Group,https://finance.yahoo.com/quote/IPG/history?p=IPG
254,IFF,International Flavors & Fragrances,https://finance.yahoo.com/quote/IFF/history?p=IFF
255,INTU,Intuit,https://finance.yahoo.com/quote/INTU/history?p=INTU
256,ISRG,Intuitive Surgical,https://finance.yahoo.com/quote/ISRG/history?p=ISRG
257,IVZ,Invesco,https://finance.yahoo.com/quote/IVZ/history?p=IVZ
258,IPGP,IPG Photonics,https://finance.yahoo.com/quote/IPGP/history?p=IPGP
259,IQV,IQVIA,https://finance.yahoo.com/quote/IQV/history?p=IQV
260,IRM,Iron Mountain,https://finance.yahoo.com/quote/IRM/history?p=IRM
261,JKHY,Jack Henry & Associates,https://finance.yahoo.com/quote/JKHY/history?p=JKHY
262,J,Jacobs Engineering Group,https://finance.yahoo.com/quote/J/history?p=J
263,JBHT,J. B. Hunt,https://finance.yahoo.com/quote/JBHT/history?p=JBHT
264,SJM,JM Smucker,https://finance.yahoo.com/quote/SJM/history?p=SJM
265,JNJ,Johnson & Johnson,https://finance.yahoo.com/quote/JNJ/history?p=JNJ
266,JCI,Johnson Controls,https://finance.yahoo.com/quote/JCI/history?p=JCI
267,JPM,JPMorgan Chase,https://finance.yahoo.com/quote/JPM/history?p=JPM
268,JNPR,Juniper Networks,https://finance.yahoo.com/quote/JNPR/history?p=JNPR
269,KSU,Kansas City Southern,https://finance.yahoo.com/quote/KSU/history?p=KSU
270,K,Kellogg's,https://finance.yahoo.com/quote/K/history?p=K
271,KEY,KeyCorp,https://finance.yahoo.com/quote/KEY/history?p=KEY
272,KEYS,Keysight Technologies,https://finance.yahoo.com/quote/KEYS/history?p=KEYS
273,KMB,Kimberly-Clark,https://finance.yahoo.com/quote/KMB/history?p=KMB
274,KIM,Kimco Realty,https://finance.yahoo.com/quote/KIM/history?p=KIM
275,KMI,Kinder Morgan,https://finance.yahoo.com/quote/KMI/history?p=KMI
276,KLAC,KLA Corporation,https://finance.yahoo.com/quote/KLAC/history?p=KLAC
277,KHC,Kraft Heinz,https://finance.yahoo.com/quote/KHC/history?p=KHC
278,KR,Kroger,https://finance.yahoo.com/quote/KR/history?p=KR
279,LHX,L3Harris Technologies,https://finance.yahoo.com/quote/LHX/history?p=LHX
280,LH,LabCorp,https://finance.yahoo.com/quote/LH/history?p=LH
281,LRCX,Lam Research,https://finance.yahoo.com/quote/LRCX/history?p=LRCX
282,LW,Lamb Weston,https://finance.yahoo.com/quote/LW/history?p=LW
283,LVS,Las Vegas Sands,https://finance.yahoo.com/quote/LVS/history?p=LVS
284,LEG,Leggett & Platt,https://finance.yahoo.com/quote/LEG/history?p=LEG
285,LDOS,Leidos,https://finance.yahoo.com/quote/LDOS/history?p=LDOS
286,LEN,Lennar,https://finance.yahoo.com/quote/LEN/history?p=LEN
287,LLY,Eli Lilly,https://finance.yahoo.com/quote/LLY/history?p=LLY
288,LNC,Lincoln National,https://finance.yahoo.com/quote/LNC/history?p=LNC
289,LIN,Linde,https://finance.yahoo.com/quote/LIN/history?p=LIN
290,LYV,Live Nation Entertainment,https://finance.yahoo.com/quote/LYV/history?p=LYV
291,LKQ,LKQ Corporation,https://finance.yahoo.com/quote/LKQ/history?p=LKQ
292,LMT,Lockheed Martin,https://finance.yahoo.com/quote/LMT/history?p=LMT
293,L,Loews Corporation,https://finance.yahoo.com/quote/L/history?p=L
294,LOW,Lowe's,https://finance.yahoo.com/quote/LOW/history?p=LOW
295,LUMN,Lumen Technologies,https://finance.yahoo.com/quote/LUMN/history?p=LUMN
296,LYB,LyondellBasell,https://finance.yahoo.com/quote/LYB/history?p=LYB
297,MTB,M&T Bank,https://finance.yahoo.com/quote/MTB/history?p=MTB
298,MRO,Marathon Oil,https://finance.yahoo.com/quote/MRO/history?p=MRO
299,MPC,Marathon Petroleum,https://finance.yahoo.com/quote/MPC/history?p=MPC
300,MKTX,MarketAxess,https://finance.yahoo.com/quote/MKTX/history?p=MKTX
301,MAR,Marriott International,https://finance.yahoo.com/quote/MAR/history?p=MAR
302,MMC,Marsh & McLennan,https://finance.yahoo.com/quote/MMC/history?p=MMC
303,MLM,Martin Marietta Materials,https://finance.yahoo.com/quote/MLM/history?p=MLM
304,MAS,Masco,https://finance.yahoo.com/quote/MAS/history?p=MAS
305,MA,Mastercard,https://finance.yahoo.com/quote/MA/history?p=MA
306,MTCH,Match Group,https://finance.yahoo.com/quote/MTCH/history?p=MTCH
307,MKC,McCormick & Company,https://finance.yahoo.com/quote/MKC/history?p=MKC
308,MCD,McDonald's,https://finance.yahoo.com/quote/MCD/history?p=MCD
309,MCK,McKesson Corporation,https://finance.yahoo.com/quote/MCK/history?p=MCK
310,MDT,Medtronic,https://finance.yahoo.com/quote/MDT/history?p=MDT
311,MRK,Merck,https://finance.yahoo.com/quote/MRK/history?p=MRK
312,MET,MetLife,https://finance.yahoo.com/quote/MET/history?p=MET
313,MTD,Mettler Toledo,https://finance.yahoo.com/quote/MTD/history?p=MTD
314,MGM,MGM Resorts International,https://finance.yahoo.com/quote/MGM/history?p=MGM
315,MCHP,Microchip Technology,https://finance.yahoo.com/quote/MCHP/history?p=MCHP
316,MU,Micron Technology,https://finance.yahoo.com/quote/MU/history?p=MU
317,MSFT,Microsoft,https://finance.yahoo.com/quote/MSFT/history?p=MSFT
318,MAA,Mid-America Apartments,https://finance.yahoo.com/quote/MAA/history?p=MAA
319,MRNA,Moderna,https://finance.yahoo.com/quote/MRNA/history?p=MRNA
320,MHK,Mohawk Industries,https://finance.yahoo.com/quote/MHK/history?p=MHK
321,TAP,Molson Coors,https://finance.yahoo.com/quote/TAP/history?p=TAP
322,MDLZ,Mondelez International,https://finance.yahoo.com/quote/MDLZ/history?p=MDLZ
323,MPWR,Monolithic Power Systems,https://finance.yahoo.com/quote/MPWR/history?p=MPWR
324,MNST,Monster Beverage,https://finance.yahoo.com/quote/MNST/history?p=MNST
325,MCO,Moody's,https://finance.yahoo.com/quote/MCO/history?p=MCO
326,MS,Morgan Stanley,https://finance.yahoo.com/quote/MS/history?p=MS
327,MOS,The Mosaic Company,https://finance.yahoo.com/quote/MOS/history?p=MOS
328,MSI,Motorola Solutions,https://finance.yahoo.com/quote/MSI/history?p=MSI
329,MSCI,MSCI,https://finance.yahoo.com/quote/MSCI/history?p=MSCI
330,NDAQ,Nasdaq,https://finance.yahoo.com/quote/NDAQ/history?p=NDAQ
331,NTAP,NetApp,https://finance.yahoo.com/quote/NTAP/history?p=NTAP
332,NFLX,Netflix,https://finance.yahoo.com/quote/NFLX/history?p=NFLX
333,NWL,Newell Brands,https://finance.yahoo.com/quote/NWL/history?p=NWL
334,NEM,Newmont,https://finance.yahoo.com/quote/NEM/history?p=NEM
335,NWSA,News Corp (Class A),https://finance.yahoo.com/quote/NWSA/history?p=NWSA
336,NWS,News Corp (Class B),https://finance.yahoo.com/quote/NWS/history?p=NWS
337,NEE,NextEra Energy,https://finance.yahoo.com/quote/NEE/history?p=NEE
338,NLSN,Nielsen Holdings,https://finance.yahoo.com/quote/NLSN/history?p=NLSN
339,NKE,Nike,https://finance.yahoo.com/quote/NKE/history?p=NKE
340,NI,NiSource,https://finance.yahoo.com/quote/NI/history?p=NI
341,NSC,Norfolk Southern,https://finance.yahoo.com/quote/NSC/history?p=NSC
